书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,出版社
https://book.douban.com/subject/4933018/,https://img1.doubanio.com/view/subject/s/public/s6202949.jpg,一生的理财计划, ,6.8,41人,王在全 / 北京大学出版社 / 2010-8 / 39.00元,《一生的理财计划(白金版)》内容简介：如果你正在为是否要开始理财而犹豫，请从第一章 读起，每个人都拥有潜在的能量，只是很容易被习惯所掩盖，被时间所迷离，被惰... ,王在全,北京大学出版社
https://book.douban.com/subject/30222575/,https://img2.doubanio.com/view/subject/s/public/s29768501.jpg,投资的逻辑,中国式股市投资心理学,7.1,20人,周倩、周晓垣 / 台海出版社 / 2018-2 / 58.00,面对着快节奏生活带来的压力以及无处不在的通货膨胀，如何让自己的资产保值增值是很多人关心的问题，投资理财也早已不是有钱人的专利。摆脱穷人思维，才真正有可能在资... ,周倩&周晓垣,台海出版社
https://book.douban.com/subject/1648030/,https://img2.doubanio.com/view/subject/s/public/s1541851.jpg,走近赢家, ,暂无,少于10人,李志林 / 四川人民出版社 / 1999-4 / 30.00元,假如有人问我，你这些年在股市中的最重要的成绩是什么？我会说，把我前半生所学到的哲学思维、智慧和悟性，在股市中广为宏扬，并向人们提供了破译股市的天机、走进赢家... ,李志林,四川人民出版社
https://book.douban.com/subject/1420703/,https://img2.doubanio.com/view/subject/s/public/s24471772.jpg,霹雳狐狸,中国股市兵器谱排行榜,6.8,26人,花荣 / 经济管理 / 2005-6 / 38.00元,《霹雳狐狸:中国股市兵器谱排行榜》记载的正是中国股市职业高手的立命秘籍。股市的现实是，少数职业高手熟练使用上乘武功，躲在暗处的优势群体则利用“赵本山思想”（... ,花荣,经济管理
https://book.douban.com/subject/1420704/,https://img9.doubanio.com/view/subject/s/public/s9976024.jpg,庄家相术, ,暂无,少于10人,邵道明 / 经济管理出版社 / 2005-7 / 35.0,《庄家相术：职业操盘手透析跟庄新思维》为你呈现的是一幅图，一幅反映股市综合情况的庄家“意图”。作者运用相术从庄家“面相”入手，每一个动作、每一个表情，比较过... ,邵道明,经济管理出版社
https://book.douban.com/subject/6790561/,https://img1.doubanio.com/view/subject/s/public/s7644298.jpg,告别亏损,从持续亏损到稳健盈利的修炼法则,7.9,30人,洗剑 / 中国宇航 / 2011-8 / 38.00元,《理财学院炒股大智慧系列•告别亏损:从持续亏损到稳健盈利的修炼法则》中分析了传统理论和技术指标的缺陷，针对普通投资者的不良交易习惯，结合作者洗剑的实战经历，... ,洗剑,中国宇航
https://book.douban.com/subject/26267048/,https://img2.doubanio.com/view/subject/s/public/s28295101.jpg,记忆传授人,“记忆传授人”四部曲 1,8.9,233人,[美] 洛伊丝·劳里 / 郑荣珍 / 河北教育出版社 / 2014-11 / 19.80元,故事发生在一个乌托邦世界，在这里，人们一生所要做的事情早在一开始就被确定好了：孩子出生后会被送到指定的家庭，由指定的父母抚养长大；成年后，被指派从事特定的工... ,洛伊丝·劳里,河北教育出版社
https://book.douban.com/subject/33406377/,https://img1.doubanio.com/view/subject/s/public/s32289558.jpg,战胜一切市场的人,从拉斯维加斯到华尔街,8.3,1062人,[美] 爱德华·O·索普 / 陈铭杰、等 / 中信出版社 / 2019-4-1 / 98.00元,在一般人眼中，玩家肯定是赢不过庄家的，但这本书的主角，也是这本书的作者，却是一个例外。他不仅在半个世纪前就找到了击败赌场的秘诀，而且还触类旁通地把这些技巧成... ,爱德华·O·索普,中信出版社
https://book.douban.com/subject/34857543/,https://img2.doubanio.com/view/subject/s/public/s33500722.jpg,哥倫比亞商學院必修投資課, ,暂无,少于10人,Paul D. Sonkin、Paul Johnson、保羅·桑金 / 黃嘉斌 / 寰宇 / 2019-8-12 / 700元,暂无,Paul D. Sonkin&Paul Johnson&保羅·桑金,寰宇
https://book.douban.com/subject/19803565/,https://img1.doubanio.com/view/subject/s/public/s29836157.jpg,Reminiscences of a Stock Operator, ,暂无,少于10人,Edwin Lefevre / Sterling Book House / 2006-12-1 / GBP 9.99,暂无,Edwin Lefevre,Sterling Book House
