书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者
https://book.douban.com/subject/35238765/,https://img9.doubanio.com/view/subject/s/public/s33748545.jpg,体验传递：游戏用户体验分析与设计, ,暂无,少于10人,路行己 / 机械工业出版社 / 2020-11 / 99.00,本书分为三部分。第一部分（第1~2章）：游戏用户体验设计。本部分提出了游戏体验传递原理的概念，从而帮助读者更加深入地理解游戏用户体验设计师的作用、价值以及能... ,路行己
https://book.douban.com/subject/20560346/,https://img9.doubanio.com/view/subject/s/public/s26050265.jpg,Design Thinking for Strategic Innovation,What They Can't Teach You at Business or Design School,暂无,少于10人,"Mootee, Idris / Wiley / 2013-8 / $ 39.55",A comprehensive playbook for applied design thinking in business and managemen... ,"Mootee, Idris"
https://book.douban.com/subject/6114207/,https://img9.doubanio.com/view/subject/s/public/s4707655.jpg,UCD火花集2,有效的互联网产品设计 交互/信息设计 用户研究讨论,6.8,537人,UCDChina 编著 / 人民邮电出版社 / 2011-4 / 35.00元,本书收集了UCDChina第一本博客集出版之后的两年间，UCDChina收录的、更广泛范围的文章，内容涵盖了互联网产品设计的方方面面。第1～6章，讨论了职业... ,UCDChina 编著
https://book.douban.com/subject/27004962/,https://img1.doubanio.com/view/subject/s/public/s29410268.jpg,工程心理学, ,6.3,28人,葛列众 / 华东师范大学出版社 / 2017-1-1 / 52,工程心理学是一门多学科交叉的学科。这本《工程心理学》主要介绍了工程心理学的相关研究，既可以作为工程心理学专业教材之外的进一步深造的补充读物，亦可以作为相关学... ,葛列众
https://book.douban.com/subject/1392475/,https://img9.doubanio.com/view/subject/s/public/s1554354.jpg,软件观念革命,交互设计精髓,8.7,461人,[美] Alan Cooper、[美] Robert M. Reimann / 詹剑锋、张知非 / 电子工业出版社 / 2005-05-01 / 89.00,本书是一本设计数字化产品的启蒙书，它在帮助您设计更有吸引力、更有效的对话框的同时，还将帮助您理解用户如何了解、学习您的软件，以及与之交互的方式。本书着重讲述... ,Alan Cooper&Robert M. Reimann
https://book.douban.com/subject/6796583/,https://img1.doubanio.com/view/subject/s/public/s7017968.jpg,Talk to Me,Design and the Communication between People and Objects,8.3,28人,"Jamer Hunt (Author)、Alexandra Midal (Author)、Paola Antonelli (Author, Editor) / The Museum of Modern Art, New York / 2011-7-31 / USD 35.00","Since the introduction of the personal computer in the early 1980s, many objec... ",Jamer Hunt&Alexandra Midal&Paola Antonelli
https://book.douban.com/subject/30162090/,https://img1.doubanio.com/view/subject/s/public/s29708068.jpg,精益设计,设计团队如何改善用户体验（第2版）,7.5,32人,[美] Jeff Gothelf、[美] Josh Seiden / 黄冰玉 / 人民邮电出版社 / 2018-2 / 49.00元,暂无,Jeff Gothelf&Josh Seiden
https://book.douban.com/subject/19851051/,https://img2.doubanio.com/view/subject/s/public/s28912002.jpg,Convivial Toolbox,Generative Research for the Front End of Design,8.5,15人,Liz Sanders、Pieter Jan Stappers / BIS Publishers / 2013-1-8 / USD 49.00,暂无,Liz Sanders&Pieter Jan Stappers
https://book.douban.com/subject/24851884/,https://img1.doubanio.com/view/subject/s/public/s26824908.jpg,The User Experience Team of One, ,8.2,19人,Leah Buley / Rosenfeld Media / 2013-7-9 / USD 39.00,暂无,Leah Buley
https://book.douban.com/subject/30393402/,https://img1.doubanio.com/view/subject/s/public/s29938578.jpg,新媒体交互艺术,Interaction Art of New Media,8.2,27人,韦艳丽 / 化学工业出版社 / 2017-12 / 88.00元,暂无,韦艳丽
