书籍详情链接,图片链接,书名,书名简述,评分,评价数,出版相关信息,概况,作者,用户标签
https://book.douban.com/subject/3931106/,https://img9.doubanio.com/view/subject/s/public/s6063655.jpg,宇宙秘密：阿西莫夫谈科学, ,8.9,289人,"（美）阿西莫夫（Asimov, I.） / 吴虹桥、苏聚汉、林自新 / 上海科技教育出版社 / 2009-8 / 38.00元",暂无,阿西莫夫,科普&阿西莫夫&科学&随笔&科学人文&科幻&美国&艾萨克·阿西莫夫
https://book.douban.com/subject/26303513/,https://img1.doubanio.com/view/subject/s/public/s29799179.jpg,活着有多久,关于死亡的科学与哲学,7.6,409人,[加拿大]理查德·贝利沃、丹尼斯·金格拉斯 / 白紫阳 / 生活·读书·新知三联书店 / 2015-1 / 32.00元,死亡并不是反常的事件，相反，有机会活着才是一个奇迹。大多数时间我们都没有意识到：组成我们身体的这些细胞，以及它们的运作机制，才代表了真正的“完美”。死亡的原... ,理查德·贝利沃&丹尼斯·金格拉斯,科普&死亡&哲学&新知文库&社科&医学&人文&科学
https://book.douban.com/subject/30776373/,https://img9.doubanio.com/view/subject/s/public/s33542014.jpg,神奇校车大家族（全73册）, ,9.3,12人,(美)乔安娜柯尔 著 、(美)布鲁斯·迪根 图 / 漆仰平 等 / 贵州人民出版社 / 2018-10 / 828元,暂无,乔安娜柯尔 著&布鲁斯·迪根 图,童书&科学&美国&绘本&儿童读物
https://book.douban.com/subject/35044463/,https://img1.doubanio.com/view/subject/s/public/s33851568.jpg,发明家的世界史,科学狂人如何撬动地球,暂无,少于10人,[德]理查德·冯·施拉赫 / 朱刘华 / 中国对外翻译出版有限公司 / 2020-5 / 78.00元,14位享誉全球的科学家人物小传。他们中5位为诺贝尔物理或化学奖获得者，多位师从诺贝尔奖获得者，有的培养了多位诺贝尔奖获得者，他们是现代科学界的先驱者和引领... ,理查德·冯·施拉赫,历史&科学&科学史&文化&传记&好书，值得一读&外国文学&2021
https://book.douban.com/subject/35241086/,https://img2.doubanio.com/view/subject/s/public/s33750552.jpg,自然的召唤,粪便的秘密,8.5,56人,[英]理查德·琼斯 / 郑浩 / 广西师范大学出版社 / 2020-11-1 / 108.00元,毫无疑问，人类和动物都要排泄。粪便产生之后发生了什么，去了哪里，如何消失，这些问题尤为重要，我们却常常选择回避。在城市中，粪便被轻松地冲入下水道，等待它们的... ,理查德·琼斯,科普&生物学&自然&生物&文化研究&广西师范大学出版社&科学&英国
https://book.douban.com/subject/33455242/,https://img2.doubanio.com/view/subject/s/public/s33557651.jpg,太阳系度假指南, ,8.4,696人,[美] 奥莉维亚·科斯基、[美] 加纳·格鲁赛维克 / 秦鹏 / 未读·探索家·北京联合出版公司 / 2019-8 / 58.00元,暂无,奥莉维亚·科斯基&加纳·格鲁赛维克,科普&天文学&天文&科学&美国&奇怪的东西&长知识了&未读
https://book.douban.com/subject/4578536/,https://img2.doubanio.com/view/subject/s/public/s24932733.jpg,阿司匹林传奇, ,8.3,546人,(英) 杰弗里斯 / 暴永宁、王惠 / 生活·读书·新知三联书店 / 2010-7 / 38.00元,1862年1月20日，美国人埃德温·史密斯获得了两卷古埃及的纸草书，其中提到的一味药——柳树，作为药物的关键成分就是后来被称为灵药的阿司匹林。本书就是从数千... ,杰弗里斯,科普&医学&历史&新知文库&科学&三联书店&三联&英国
https://book.douban.com/subject/4062447/,https://img2.doubanio.com/view/subject/s/public/s6077901.jpg,光学原理, ,9.5,68人,马科斯·玻恩（Born.M.）、埃米尔·沃耳夫（Wolf.E.） / 杨葭荪 / 电子工业出版社 / 2009-10 / 89.00元,《光学原理:光的传播、干涉和衍射的电磁理论(第7版)》是一部经典光学世界名著。全书以麦克斯韦宏观电磁理论为基础，系统阐述光在各种媒质中的传播规律，包括反射、... ,马科斯·玻恩&埃米尔·沃耳夫,光学&物理&教材&科学&物理学&简体中文
https://book.douban.com/subject/26934521/,https://img9.doubanio.com/view/subject/s/public/s29250064.jpg,宇宙图志, ,9.3,72人,迈克尔·本森 / 余恒 / 电子工业出版社 / 2017-3-1 / 248,暂无,迈克尔·本森,天文&科普&科学&图解&宇宙&科学史&百科&符号学
https://book.douban.com/subject/27032830/,https://img9.doubanio.com/view/subject/s/public/s29438346.jpg,万年的竞争,新著世界科学技术文化简史,8.0,65人,刘夙 / 科学出版社 / 2017-4-1 / CNY 48.00,科学技术支撑起了今日世界的运转。现代科学技术在带给人类丰富资源和无尽便利的同时，也制造了新的社会问题，甚至有让我们的世界重新陷入困顿的可能。当中国即将成为世... ,刘夙,科普&科学史&科技&历史&科学&近代史&社会
